Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
C.R.A.Z.Y.,2005,,129 min,Comedy,7.9,Jean-Marc VallÃ©e
Cinderella Man,2005,UA,144 min,Biography,8,Ron Howard
Sin City,2005,A,124 min,Crime,8,Frank Miller
Batman Begins,2005,UA,140 min,Action,8.2,Christopher Nolan
Black,2005,U,122 min,Drama,8.2,Sanjay Leela Bhansali
V for Vendetta,2005,A,132 min,Action,8.2,James McTeigue
Babam ve Oglum,2005,,112 min,Drama,8.3,Ã‡agan Irmak
300,2006,A,117 min,Action,7.6,Zack Snyder
Huo Yuan Jia,2006,PG-13,104 min,Action,7.6,Ronny Yu
Inside Man,2006,R,129 min,Crime,7.6,Spike Lee
The Illusionist,2006,U,110 min,Drama,7.6,Neil Burger
Death Note: Desu nÃ´to,2006,,126 min,Crime,7.7,ShÃ»suke Kaneko
Efter brylluppet,2006,R,120 min,Drama,7.7,Susanne Bier
Lucky Number Slevin,2006,R,110 min,Action,7.7,Paul McGuigan
Papurika,2006,U,90 min,Animation,7.7,Satoshi Kon
The Last King of Scotland,2006,R,123 min,Biography,7.7,Kevin Macdonald
This Is England,2006,,101 min,Crime,7.7,Shane Meadows
Toki o kakeru shÃ´jo,2006,U,98 min,Animation,7.7,Mamoru Hosoda
Zwartboek,2006,R,145 min,Drama,7.7,Paul Verhoeven
Apocalypto,2006,A,139 min,Action,7.8,Mel Gibson
Little Miss Sunshine,2006,UA,101 min,Comedy,7.8,Jonathan Dayton
Children of Men,2006,A,109 min,Adventure,7.9,Alfonso CuarÃ³n
Letters from Iwo Jima,2006,UA,141 min,Action,7.9,Clint Eastwood
The Fall,2006,R,117 min,Adventure,7.9,Tarsem Singh
Blood Diamond,2006,A,143 min,Adventure,8,Edward Zwick
Casino Royale,2006,PG-13,144 min,Action,8,Martin Campbell
The Pursuit of Happyness,2006,U,117 min,Biography,8,Gabriele Muccino
Lage Raho Munna Bhai,2006,U,144 min,Comedy,8.1,Rajkumar Hirani
Pan's Labyrinth,2006,UA,118 min,Drama,8.2,Guillermo del Toro
Rang De Basanti,2006,UA,167 min,Comedy,8.2,Rakeysh Omprakash Mehra
The Lives of Others,2006,A,137 min,Drama,8.4,Florian Henckel von Donnersmarck
The Departed,2006,A,151 min,Crime,8.5,Martin Scorsese
The Prestige,2006,U,130 min,Drama,8.5,Christopher Nolan
Eastern Promises,2007,R,100 min,Action,7.6,David Cronenberg
Gone Baby Gone,2007,R,114 min,Crime,7.6,Ben Affleck
La Vie En Rose,2007,PG-13,140 min,Biography,7.6,Olivier Dahan
Stardust,2007,U,127 min,Adventure,7.6,Matthew Vaughn
The Visitor,2007,PG-13,104 min,Drama,7.6,Tom McCarthy
3:10 to Yuma,2007,A,122 min,Action,7.7,James Mangold
Control,2007,R,122 min,Biography,7.7,Anton Corbijn
Zodiac,2007,UA,157 min,Crime,7.7,David Fincher
American Gangster,2007,A,157 min,Biography,7.8,Ridley Scott
Atonement,2007,R,123 min,Drama,7.8,Joe Wright
Auf der anderen Seite,2007,,122 min,Drama,7.8,Fatih Akin
Hot Fuzz,2007,UA,121 min,Action,7.8,Edgar Wright
Once,2007,R,86 min,Drama,7.8,John Carney
"4 luni, 3 saptamÃ¢ni si 2 zile",2007,,113 min,Drama,7.9,Cristian Mungiu
Jab We Met,2007,U,138 min,Comedy,7.9,Imtiaz Ali
The Man from Earth,2007,,87 min,Drama,7.9,Richard Schenkman
Le scaphandre et le papillon,2007,PG-13,112 min,Biography,8,Julian Schnabel
Persepolis,2007,PG-13,96 min,Animation,8,Vincent Paronnaud
Ratatouille,2007,U,111 min,Animation,8,Brad Bird
The Bourne Ultimatum,2007,UA,115 min,Action,8,Paul Greengrass
Tropa de Elite,2007,R,115 min,Action,8,JosÃ© Padilha
Into the Wild,2007,R,148 min,Adventure,8.1,Sean Penn
No Country for Old Men,2007,R,122 min,Crime,8.1,Ethan Coen
Chak De! India,2007,U,153 min,Drama,8.2,Shimit Amin
There Will Be Blood,2007,A,158 min,Drama,8.2,Paul Thomas Anderson
Taare Zameen Par,2007,U,165 min,Drama,8.4,Aamir Khan
Die Welle,2008,,107 min,Drama,7.6,Dennis Gansel
Seven Pounds,2008,UA,123 min,Drama,7.6,Gabriele Muccino
"Synecdoche, New York",2008,R,124 min,Drama,7.6,Charlie Kaufman
Changeling,2008,R,141 min,Biography,7.7,Clint Eastwood
Frost/Nixon,2008,R,122 min,Biography,7.7,Ron Howard
Gake no ue no Ponyo,2008,U,101 min,Animation,7.7,Hayao Miyazaki
Chugyeokja,2008,,125 min,Action,7.8,Hong-jin Na
Taken,2008,A,90 min,Action,7.8,Pierre Morel
The Boy in the Striped Pyjamas,2008,PG-13,94 min,Drama,7.8,Mark Herman
The Curious Case of Benjamin Button,2008,UA,166 min,Drama,7.8,David Fincher
In Bruges,2008,R,107 min,Comedy,7.9,Martin McDonagh
Iron Man,2008,UA,126 min,Action,7.9,Jon Favreau
LÃ¥t den rÃ¤tte komma in,2008,R,114 min,Crime,7.9,Tomas Alfredson
The Wrestler,2008,UA,109 min,Drama,7.9,Darren Aronofsky
Slumdog Millionaire,2008,UA,120 min,Drama,8,Danny Boyle
Yip Man,2008,R,106 min,Action,8,Wilson Yip
A Wednesday,2008,UA,104 min,Action,8.1,Neeraj Pandey
Gran Torino,2008,R,116 min,Drama,8.1,Clint Eastwood
Okuribito,2008,PG-13,130 min,Drama,8.1,YÃ´jirÃ´ Takita
WALLÂ·E,2008,U,98 min,Animation,8.4,Andrew Stanton
The Dark Knight,2008,UA,152 min,Action,9,Christopher Nolan
Celda 211,2009,,113 min,Action,7.6,Daniel MonzÃ³n
Harry Potter and the Half-Blood Prince,2009,UA,153 min,Action,7.6,David Yates
Sherlock Holmes,2009,PG-13,128 min,Action,7.6,Guy Ritchie
The Blind Side,2009,UA,129 min,Biography,7.6,John Lee Hancock
The Secret of Kells,2009,,71 min,Animation,7.6,Tomm Moore
Watchmen,2009,A,162 min,Action,7.6,Zack Snyder
Zombieland,2009,A,88 min,Adventure,7.6,Ruben Fleischer
(500) Days of Summer,2009,UA,95 min,Comedy,7.7,Marc Webb
Coraline,2009,U,100 min,Animation,7.7,Henry Selick
The Hangover,2009,UA,100 min,Comedy,7.7,Todd Phillips
Avatar,2009,UA,162 min,Action,7.8,James Cameron
Das weiÃŸe Band - Eine deutsche Kindergeschichte,2009,UA,144 min,Drama,7.8,Michael Haneke
MÃ¤n som hatar kvinnor,2009,R,152 min,Crime,7.8,Niels Arden Oplev
Madeo,2009,R,129 min,Crime,7.8,Bong Joon Ho
Mr. Nobody,2009,R,141 min,Drama,7.8,Jaco Van Dormael
District 9,2009,A,112 min,Action,7.9,Neill Blomkamp
Fantastic Mr. Fox,2009,PG,87 min,Animation,7.9,Wes Anderson
Moon,2009,R,97 min,Drama,7.9,Duncan Jones
Star Trek,2009,UA,127 min,Action,7.9,J.J. Abrams
Un prophÃ¨te,2009,A,155 min,Crime,7.9,Jacques Audiard
Darbareye Elly,2009,TV-PG,119 min,Drama,8,Asghar Farhadi
Dev.D,2009,A,144 min,Drama,8,Anurag Kashyap
Nefes: Vatan Sagolsun,2009,,128 min,Action,8,Levent Semerci
Hachi: A Dog's Tale,2009,G,93 min,Biography,8.1,Lasse HallstrÃ¶m
Mary and Max,2009,,92 min,Animation,8.1,Adam Elliot
El secreto de sus ojos,2009,R,129 min,Drama,8.2,Juan JosÃ© Campanella
Up,2009,U,96 min,Animation,8.2,Pete Docter
Inglourious Basterds,2009,A,153 min,Adventure,8.3,Quentin Tarantino
3 Idiots,2009,UA,170 min,Comedy,8.4,Rajkumar Hirani
Despicable Me,2010,U,95 min,Animation,7.6,Pierre Coffin
HÃ¦vnen,2010,R,118 min,Drama,7.6,Susanne Bier
Kari-gurashi no Arietti,2010,U,94 min,Animation,7.6,Hiromasa Yonebayashi
Kick-Ass,2010,UA,117 min,Action,7.6,Matthew Vaughn
True Grit,2010,PG-13,110 min,Drama,7.6,Ethan Coen
Flipped,2010,PG,90 min,Comedy,7.7,Rob Reiner
Harry Potter and the Deathly Hallows: Part 1,2010,A,146 min,Adventure,7.7,David Yates
Tangled,2010,U,100 min,Animation,7.7,Nathan Greno
The Social Network,2010,UA,120 min,Biography,7.7,David Fincher
Ajeossi,2010,R,119 min,Action,7.8,Jeong-beom Lee
Ang-ma-reul bo-at-da,2010,,144 min,Action,7.8,Jee-woon Kim
Kokuhaku,2010,,106 min,Drama,7.8,Tetsuya Nakashima
The Fighter,2010,UA,116 min,Biography,7.8,David O. Russell
Black Swan,2010,A,108 min,Drama,8,Darren Aronofsky
My Name Is Khan,2010,UA,165 min,Drama,8,Karan Johar
The King's Speech,2010,U,118 min,Biography,8,Tom Hooper
Tropa de Elite 2: O Inimigo Agora Ã© Outro,2010,,115 min,Action,8,JosÃ© Padilha
How to Train Your Dragon,2010,U,98 min,Animation,8.1,Dean DeBlois
Shutter Island,2010,A,138 min,Mystery,8.2,Martin Scorsese
Toy Story 3,2010,U,103 min,Animation,8.2,Lee Unkrich
Udaan,2010,UA,134 min,Drama,8.2,Vikramaditya Motwane
Incendies,2010,R,131 min,Drama,8.3,Denis Villeneuve
Inception,2010,UA,148 min,Action,8.8,Christopher Nolan
50/50,2011,R,100 min,Comedy,7.6,Jonathan Levine
La piel que habito,2011,R,120 min,Drama,7.6,Pedro AlmodÃ³var
Moneyball,2011,PG-13,133 min,Biography,7.6,Bennett Miller
Serbuan maut,2011,A,101 min,Action,7.6,Gareth Evans
Detachment,2011,,98 min,Drama,7.7,Tony Kaye
Midnight in Paris,2011,PG-13,96 min,Comedy,7.7,Woody Allen
Rockstar,2011,UA,159 min,Drama,7.7,Imtiaz Ali
X: First Class,2011,UA,131 min,Action,7.7,Matthew Vaughn
Drive,2011,A,100 min,Crime,7.8,Nicolas Winding Refn
The Girl with the Dragon Tattoo,2011,R,158 min,Crime,7.8,David Fincher
Bir Zamanlar Anadolu'da,2011,,157 min,Crime,7.9,Nuri Bilge Ceylan
The Artist,2011,U,100 min,Comedy,7.9,Michel Hazanavicius
The Help,2011,UA,146 min,Drama,8,Tate Taylor
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130 min,Adventure,8.1,David Yates
Zindagi Na Milegi Dobara,2011,U,155 min,Comedy,8.1,Zoya Akhtar
Warrior,2011,UA,140 min,Action,8.2,Gavin O'Connor
